
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-02-04;23.319,83;2905192771222;23.994,43;2628152738877;23.948,34;3746855746810;23.281,04;50524779112;23.645,36;320683919803;23.157,58;3668477755476
2012-02-05;23.319,83;2905192771222;23.994,43;2628152738877;23.948,34;3746855746810;23.281,04;50524779112;23.645,36;320683919803;23.157,58;3668477755476
2012-02-06;23.375,79;2911593489652;24.037,72;2632527462044;24.001,15;3754846248574;23.335,27;50650236278;23.713,05;321618786417;23.205,67;3676204436400
2012-02-07;23.419,07;2917383972400;24.089,99;2638756723756;24.047,68;3762948193499;23.366,58;50820008691;23.747,20;322063376639;23.246,42;3682797783995
2012-02-08;23.410,21;2917492788181;24.081,05;2639446911203;24.042,63;3764076385156;23.358,23;50896787978;23.741,24;322093800820;23.241,10;3683387282251
2012-02-09;23.433,79;2921608566426;24.101,47;2643052062086;24.053,76;3768316370277;23.381,33;51279689917;23.772,30;322529956481;23.251,10;3685824560553
2012-02-10;23.421,62;2920799984113;24.091,59;2643404212544;24.044,62;3767982703321;23.388,22;51462778319;23.775,52;322647362969;23.237,91;3684602550786
2012-02-11;23.421,62;2920799984113;24.091,59;2643404212544;24.044,62;3767982703321;23.388,22;51462778319;23.775,52;322647362969;23.237,91;3684602550786
2012-02-12;23.421,62;2920799984113;24.091,59;2643404212544;24.044,62;3767982703321;23.388,22;51462778319;23.775,52;322647362969;23.237,91;3684602550786
2012-02-13;23.368,10;2915350167290;24.051,16;2640902166236;23.991,17;3761378855245;23.333,01;51619580424;23.721,67;321979187377;23.192,36;3679572752538
2012-02-14;23.500,29;2935649517846;24.174,62;2657586804650;24.124,04;3787418340134;23.459,19;52159594541;23.838,44;323774286423;23.324,47;3705061428048
2012-02-15;23.555,07;2948052452035;24.241,63;2673954906492;24.184,26;3806362480756;23.498,28;56962303263;23.883,59;322549191258;23.382,48;3715596239238
2012-02-16;23.633,25;2958918739315;24.319,59;2683860598271;24.252,20;3823298240590;23.572,53;57577355705;23.954,67;323776639723;23.450,18;3730859594135
2012-02-17;23.715,44;2970312213446;24.396,69;2693663605520;24.344,20;3839222886886;23.659,60;57818352645;24.019,54;326044537673;23.539,42;3749110399255
2012-02-18;23.715,44;2970312213446;24.396,69;2693663605520;24.344,20;3839222886886;23.659,60;57818352645;24.019,54;326044537673;23.539,42;3749110399255
2012-02-19;23.715,44;2970312213446;24.396,69;2693663605520;24.344,20;3839222886886;23.659,60;57818352645;24.019,54;326044537673;23.539,42;3749110399255
2012-02-20;23.799,39;2981044689237;24.488,90;2704218969268;24.420,97;3851912196144;23.734,55;58158889612;24.098,36;327128726707;23.607,15;3762933868784
2012-02-21;23.800,69;2981466432056;24.487,19;2704617958277;24.422,03;3852659903064;23.732,20;58173941814;24.104,28;327217602680;23.605,37;3763102855325
2012-02-22;23.750,24;2975724357696;24.436,98;2698780120411;24.374,01;3845528874053;23.696,94;58155127515;24.063,43;326723334907;23.548,05;3754191310660
2012-02-23;23.775,29;2979088694041;24.451,96;2702703344626;24.402,44;3851844599841;23.715,25;58090594603;24.079,64;326905475006;23.576,65;3758632619191
2012-02-24;23.722,60;2973709792420;24.397,61;2698383802353;24.350,77;3847074058075;23.672,09;57998284943;24.044,85;326465414411;23.527,29;3751294191774
2012-02-25;23.722,60;2973709792420;24.397,61;2698383802353;24.350,77;3847074058075;23.672,09;57998284943;24.044,85;326465414411;23.527,29;3751294191774
2012-02-26;23.722,60;2973709792420;24.397,61;2698383802353;24.350,77;3847074058075;23.672,09;57998284943;24.044,85;326465414411;23.527,29;3751294191774
2012-02-27;23.720,21;2974381628896;24.384,63;2698132107630;24.344,04;3847051418086;23.671,21;58043385059;24.049,81;326731578342;23.532,30;3753059867608
2012-02-28;23.696,15;2971573272172;24.367,32;2696565415530;24.328,86;3845776817246;23.657,46;58035931330;24.017,38;326303253401;23.504,46;3748463313092
2012-02-29;23.718,45;2970129655441;24.383,32;2699939983678;24.355,92;3844235043260;23.693,95;58363836613;24.059,79;325814983452;23.533,41;3741931226946
2012-03-01;23.765,43;2973142427531;24.435,42;2707530705091;24.391,54;3850168425140;23.738,63;60451585845;24.111,01;324880483857;23.572,30;3746991326174
2012-03-02;23.866,68;2986273034032;24.539,26;2719468543633;24.512,04;3869493994101;23.842,36;60900251067;24.198,29;326110034796;23.686,25;3765130629869
2012-03-03;23.866,68;2986273034032;24.539,26;2719468543633;24.512,04;3869493994101;23.842,36;60900251067;24.198,29;326110034796;23.686,25;3765130629869
2012-03-04;23.866,68;2986273034032;24.539,26;2719468543633;24.512,04;3869493994101;23.842,36;60900251067;24.198,29;326110034796;23.686,25;3765130629869
2012-03-05;23.952,17;2997360346371;24.633,96;2730984888744;24.591,70;3883052462814;23.929,48;61194318778;24.274,12;327164080626;23.764,58;3778231603679
2012-03-06;23.846,60;2985387339577;24.533,49;2721304630884;24.492,18;3868512378978;23.818,59;60902904886;24.168,15;328426181298;23.657,47;3761843240475
2012-03-07;23.658,53;2963479122132;24.372,30;2704262999290;24.314,35;3841180788583;23.630,86;60710822692;23.991,67;326066875891;23.485,33;3734938289684
2012-03-08;23.719,05;2973130497402;24.422,24;2711796160322;24.379,21;3854392935945;23.695,05;60932021424;24.033,62;326702070634;23.553,58;3746708378116
2012-03-09;23.783,54;2983330029421;24.472,94;2718113773725;24.440,41;3865965661575;23.753,85;61238493301;24.111,05;327813912508;23.613,48;3756543640627
2012-03-10;23.783,54;2983330029421;24.472,94;2718113773725;24.440,41;3865965661575;23.753,85;61238493301;24.111,05;327813912508;23.613,48;3756543640627
2012-03-11;23.783,54;2983330029421;24.472,94;2718113773725;24.440,41;3865965661575;23.753,85;61238493301;24.111,05;327813912508;23.613,48;3756543640627
2012-03-12;23.818,60;2989585119299;24.509,52;2722557782972;24.467,73;3870336076027;23.793,01;62017734560;24.155,56;328610690968;23.642,89;3762398531958
