
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-02-09;24.002,12;6150241639103;27.569,18;5314548150418;26.761,44;7338619659506;26.823,02;36020113692;49.425,28;946751205348;23.878,75;9226042621104
2012-02-10;23.994,39;6149045153777;27.563,13;5315037007815;26.758,04;7339246439889;26.836,02;36166063360;49.431,55;947719773120;23.870,56;9224236273073
2012-02-11;23.994,39;6149045153777;27.563,13;5315037007815;26.758,04;7339246439889;26.836,02;36166063360;49.431,55;947719773120;23.870,56;9224236273073
2012-02-12;23.994,39;6149045153777;27.563,13;5315037007815;26.758,04;7339246439889;26.836,02;36166063360;49.431,55;947719773120;23.870,56;9224236273073
2012-02-13;23.975,93;6143150540717;27.553,96;5309925836354;26.741,20;7331820831774;26.815,26;36370416545;49.399,54;947299833342;23.859,26;9222116976171
2012-02-14;24.058,02;6167185860077;27.644,09;5330482886669;26.824,18;7360966379857;26.914,31;36761173430;49.544,38;950001621449;23.936,47;9257246158233
2012-02-15;24.105,15;6187960946800;27.699,18;5351372741995;26.882,59;7390580002658;26.949,54;41447418718;49.616,51;949559047673;23.985,71;9278479926587
2012-02-16;24.148,07;6199098802297;27.749,98;5362923912916;26.928,03;7409230144202;27.002,44;41214230634;49.701,02;951641125591;24.025,12;9298421949330
2012-02-17;24.220,80;6219962858269;27.839,03;5382037962261;27.010,23;7432612335457;27.087,72;41350233151;49.823,01;956095597865;24.099,76;9331694420646
2012-02-18;24.220,80;6219962858269;27.839,03;5382037962261;27.010,23;7432612335457;27.087,72;41350233151;49.823,01;956095597865;24.099,76;9331694420646
2012-02-19;24.220,80;6219962858269;27.839,03;5382037962261;27.010,23;7432612335457;27.087,72;41350233151;49.823,01;956095597865;24.099,76;9331694420646
2012-02-20;24.282,13;6236402447746;27.909,50;5396382549363;27.075,81;7450523517681;27.146,46;41382247547;49.938,17;958336889336;24.151,26;9355212385086
2012-02-21;24.290,93;6239022561362;27.910,82;5396830430617;27.087,47;7453106061834;27.143,49;41488535726;49.957,55;958759587125;24.157,05;9358365475027
2012-02-22;24.247,40;6228549303681;27.864,30;5388570660199;27.037,80;7439773748501;27.114,10;41608217808;49.881,89;957575319029;24.105,50;9338753921942
2012-02-23;24.254,08;6232236010432;27.860,29;5390112122201;27.043,25;7443638347997;27.129,12;41813141294;49.891,45;957873502987;24.111,28;9340202509505
2012-02-24;24.212,96;6223285766371;27.812,18;5383049235628;27.002,12;7433688033885;27.091,07;41781102676;49.837,02;956859473669;24.073,78;9326242120951
2012-02-25;24.212,96;6223285766371;27.812,18;5383049235628;27.002,12;7433688033885;27.091,07;41781102676;49.837,02;956859473669;24.073,78;9326242120951
2012-02-26;24.212,96;6223285766371;27.812,18;5383049235628;27.002,12;7433688033885;27.091,07;41781102676;49.837,02;956859473669;24.073,78;9326242120951
2012-02-27;24.208,72;6223570065866;27.783,19;5376313274103;26.979,05;7426700117612;27.085,37;42053490993;49.821,19;956576355819;24.069,73;9324093512689
2012-02-28;24.201,68;6221539466878;27.783,16;5377533437017;26.971,69;7428860306473;27.072,36;41611741951;49.793,01;956093564359;24.059,39;9320364432110
2012-02-29;24.185,46;6210839627137;27.758,17;5366441086031;26.955,17;7418728520191;27.076,16;41366314032;49.795,19;954599025750;24.044,70;9307598044693
2012-03-01;24.222,39;6220689946965;27.800,98;5378068093433;26.990,92;7430796082277;27.123,50;43911834332;49.876,72;953784612176;24.077,07;9314616909157
2012-03-02;24.297,46;6239691258859;27.890,43;5394463810766;27.085,98;7459085617037;27.208,07;44495101264;50.006,76;956312864690;24.159,96;9346703610599
2012-03-03;24.297,46;6239691258859;27.890,43;5394463810766;27.085,98;7459085617037;27.208,07;44495101264;50.006,76;956312864690;24.159,96;9346703610599
2012-03-04;24.297,46;6239691258859;27.890,43;5394463810766;27.085,98;7459085617037;27.208,07;44495101264;50.006,76;956312864690;24.159,96;9346703610599
2012-03-05;24.354,60;6254949199614;27.966,77;5412195562050;27.151,78;7475875280669;27.270,34;44567198649;50.119,18;958522345967;24.217,02;9368819924168
2012-03-06;24.291,31;6237240085686;27.904,53;5401352353213;27.101,53;7461407773175;27.192,11;44256747334;50.003,65;958316214684;24.154,40;9345582416191
2012-03-07;24.187,59;6211787540805;27.814,08;5386325094574;27.001,20;7436975268885;27.075,30;44269590280;49.813,36;954741088778;24.066,28;9312160052716
2012-03-08;24.229,40;6223667387692;27.861,99;5395750031087;27.042,11;7448189309345;27.125,87;44313871631;49.880,99;956143425252;24.111,98;9331722367287
2012-03-09;24.260,81;6233438057042;27.898,98;5405777429795;27.073,75;7459451110780;27.168,66;44413587357;49.960,38;957751728373;24.144,29;9341310712123
2012-03-10;24.260,81;6233438057042;27.898,98;5405777429795;27.073,75;7459451110780;27.168,66;44413587357;49.960,38;957751728373;24.144,29;9341310712123
2012-03-11;24.260,81;6233438057042;27.898,98;5405777429795;27.073,75;7459451110780;27.168,66;44413587357;49.960,38;957751728373;24.144,29;9341310712123
2012-03-12;24.280,43;6239354000265;27.923,12;5408480354424;27.094,36;7468907433815;27.201,46;44812266994;50.013,71;958824579982;24.161,51;9348687261036
2012-03-13;24.255,91;6231876480724;27.897,35;5402049726542;27.072,82;7461646170065;27.180,47;45253868837;49.982,90;958484122976;24.129,76;9339624272883
2012-03-14;24.315,43;6251295976863;27.934,84;5414186597152;27.113,75;7479568681393;27.240,83;46198231092;50.061,84;960708016946;24.176,49;9364993363786
2012-03-15;24.297,39;6251655430522;27.907,93;5421455725486;27.090,08;7487086554734;27.217,52;50414081866;50.037,12;958567143672;24.150,44;9357619944408
2012-03-16;24.305,81;6255458282336;27.919,71;5428033833338;27.099,64;7494740360680;27.228,70;50094382480;50.034,61;961286018230;24.153,52;9365000051535
2012-03-17;24.305,81;6255458282336;27.919,71;5428033833338;27.099,64;7494740360680;27.228,70;50094382480;50.034,61;961286018230;24.153,52;9365000051535
2012-03-18;24.305,81;6255458282336;27.919,71;5428033833338;27.099,64;7494740360680;27.228,70;50094382480;50.034,61;961286018230;24.153,52;9365000051535
2012-03-19;24.277,94;6248992094666;27.879,25;5421179059542;27.073,79;7486727004646;27.207,26;50078997437;50.009,22;961028332170;24.124,41;9363102245722
2012-03-20;24.330,56;6261142010444;27.944,14;5435308539824;27.137,27;7503388181423;27.255,10;50048751925;50.104,35;962920521052;24.176,07;9385127947366
2012-03-21;24.302,05;6254687228430;27.910,38;5432731415938;27.109,34;7500913887145;27.226,61;48154080524;50.040,06;961596063648;24.139,20;9371051894506
2012-03-22;24.296,00;6254618268354;27.853,33;5424314682580;27.090,44;7495204100546;27.213,92;48072653765;49.990,34;960654465951;24.114,51;9361170769553
2012-03-23;24.271,44;6249117794405;27.843,93;5425314898605;27.076,49;7494289265086;27.196,25;48055152674;49.950,56;960151733458;24.089,71;9351357267892
2012-03-24;24.271,44;6249117794405;27.843,93;5425314898605;27.076,49;7494289265086;27.196,25;48055152674;49.950,56;960151733458;24.089,71;9351357267892
2012-03-25;24.271,44;6249117794405;27.843,93;5425314898605;27.076,49;7494289265086;27.196,25;48055152674;49.950,56;960151733458;24.089,71;9351357267892
2012-03-26;24.312,90;6261377491621;27.889,78;5435614217934;27.120,82;7506911397372;27.239,57;48027018914;50.016,14;961373505853;24.137,06;9371184125088
2012-03-27;24.355,71;6274024043339;27.927,78;5443986615836;27.153,41;7520276379568;27.289,65;48206269543;50.086,82;962749464457;24.185,52;9389745894225
2012-03-28;24.407,32;6288053695438;27.992,32;5458379410658;27.212,08;7536862175052;27.347,46;48056671742;50.209,03;965157809150;24.231,05;9408905434598
2012-03-29;24.373,73;6278855925093;27.958,90;5454580822500;27.177,48;7529451770172;27.307,25;47990504560;50.157,20;964203257561;24.194,38;9395446379085
2012-03-30;24.308,67;6255476249850;27.878,00;5434903041795;27.114,16;7507090505103;27.225,01;47963165753;50.032,44;960268013124;24.145,06;9369171014846
2012-03-31;24.308,67;6255476249850;27.878,00;5434903041795;27.114,16;7507090505103;27.225,01;47963165753;50.032,44;960268013124;24.145,06;9369171014846
2012-04-01;24.308,67;6255476249850;27.878,00;5434903041795;27.114,16;7507090505103;27.225,01;47963165753;50.032,44;960268013124;24.145,06;9369171014846
2012-04-02;24.315,29;6255095593042;27.886,00;5446408401822;27.117,34;7510264149971;27.247,28;49159380215;50.052,69;957530469520;24.142,38;9361962227701
2012-04-03;24.354,87;6265433678687;27.934,46;5457000162228;27.158,71;7522975292281;27.297,43;49743722152;50.128,93;961691816255;24.192,46;9380269462505
2012-04-04;24.341,01;6261161514509;27.913,13;5454657630155;27.135,72;7514328481512;27.292,76;49131243545;50.133,23;961539268477;24.169,10;9372061740317
2012-04-05;24.276,19;6242769327879;27.835,79;5432992788463;27.065,15;7489271971375;27.198,62;48972426765;49.989,33;958736719647;24.097,91;9339639873566
2012-04-06;24.276,19;6242769327879;27.835,79;5432992788463;27.065,15;7489271971375;27.198,62;48972426765;49.989,33;958736719647;24.097,91;9339639873566
2012-04-07;24.276,19;6242769327879;27.835,79;5432992788463;27.065,15;7489271971375;27.198,62;48972426765;49.989,33;958736719647;24.097,91;9339639873566
2012-04-08;24.276,19;6242769327879;27.835,79;5432992788463;27.065,15;7489271971375;27.198,62;48972426765;49.989,33;958736719647;24.097,91;9339639873566
2012-04-09;24.300,90;6249797544454;27.864,57;5436702769027;27.091,10;7495743916872;27.230,90;49020230426;50.036,68;959598853245;24.121,46;9348853945613
2012-04-10;24.266,11;6241444894289;27.831,35;5431883866212;27.061,72;7488750609338;27.186,37;46893338722;49.978,76;958400078659;24.082,72;9334516269486
2012-04-11;24.178,46;6220563367767;27.726,47;5406380769577;26.969,72;7464907517231;27.100,84;46668948692;49.817,89;955384670003;23.981,93;9296310930007
2012-04-12;24.170,55;6221476567746;27.723,01;5409881988619;26.956,21;7465225344911;27.088,86;47358768586;49.792,98;955344523682;23.979,28;9299007419914
2012-04-13;24.186,48;6229627029291;27.742,60;5419454808894;26.968,65;7475661082551;27.117,84;47548004355;49.813,63;956547410147;23.999,69;9319572385383
2012-04-14;24.186,48;6229627029291;27.742,60;5419454808894;26.968,65;7475661082551;27.117,84;47548004355;49.813,63;956547410147;23.999,69;9319572385383
2012-04-15;24.186,48;6229627029291;27.742,60;5419454808894;26.968,65;7475661082551;27.117,84;47548004355;49.813,63;956547410147;23.999,69;9319572385383
2012-04-16;24.169,04;6221010524996;27.717,99;5422901992557;26.959,66;7478435657879;27.103,18;50300718098;49.799,16;953368024579;23.979,48;9309811693219
2012-04-17;24.179,26;6229206357339;27.731,03;5429154281505;26.973,73;7489660042851;27.106,03;51092599571;49.814,61;956411903912;23.988,09;9320125815091
2012-04-18;24.207,52;6236942846126;27.768,94;5436429258109;27.009,16;7498960303933;27.137,00;50719836879;49.868,21;957436265190;24.021,05;9333215978832
2012-04-19;24.210,52;6237592104798;27.766,79;5436473902872;27.020,68;7502375287668;27.149,69;50690089625;49.899,18;957529314460;24.023,84;9332845474422
2012-04-20;24.244,67;6245188750706;27.805,10;5439673736883;27.060,88;7509604400483;27.200,51;50860972624;49.979,79;959244216812;24.060,93;9346244018259
2012-04-21;24.244,67;6245188750706;27.805,10;5439673736883;27.060,88;7509604400483;27.200,51;50860972624;49.979,79;959244216812;24.060,93;9346244018259
2012-04-22;24.244,67;6245188750706;27.805,10;5439673736883;27.060,88;7509604400483;27.200,51;50860972624;49.979,79;959244216812;24.060,93;9346244018259
2012-04-23;24.272,42;6253065571778;27.832,88;5443420004932;27.088,59;7517182823578;27.233,88;48453989781;50.016,60;959978702982;24.091,95;9357430996185
2012-04-24;24.226,29;6241910763173;27.784,34;5431585415775;27.044,89;7503922469216;27.171,17;48331556217;49.926,00;958293999613;24.055,22;9342071834646
