
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-02-04;25.092,87;3154957978819;26.019,37;3344871080628;26.302,68;3197297101056;26.040,77;18224228836;24.903,21;272439959255;26.236,36;3319249614019
2012-02-05;25.092,87;3154957978819;26.019,37;3344871080628;26.302,68;3197297101056;26.040,77;18224228836;24.903,21;272439959255;26.236,36;3319249614019
2012-02-06;25.187,04;3166939763161;26.110,47;3356655731878;26.401,79;3208781063657;26.144,50;18337069184;25.010,90;273575083950;26.323,88;3330211071378
2012-02-07;25.230,49;3174301875498;26.165,19;3365547635901;26.461,03;3218735902872;26.170,42;18443721967;25.046,95;274022031847;26.382,22;3338635965236
2012-02-08;25.216,29;3175263773076;26.152,58;3369732928633;26.458,04;3224279879527;26.162,47;18467136762;25.040,07;274006952325;26.371,32;3339450970837
2012-02-09;25.253,40;3185210023964;26.200,17;3381527765420;26.490,58;3234393456976;26.209,11;18573486078;25.099,70;274710108800;26.411,65;3346919139305
2012-02-10;25.223,03;3182903596271;26.177,35;3382289747577;26.472,54;3235299664487;26.202,35;18715804339;25.089,69;274663043862;26.384,50;3345499320676
2012-02-11;25.223,03;3182903596271;26.177,35;3382289747577;26.472,54;3235299664487;26.202,35;18715804339;25.089,69;274663043862;26.384,50;3345499320676
2012-02-12;25.223,03;3182903596271;26.177,35;3382289747577;26.472,54;3235299664487;26.202,35;18715804339;25.089,69;274663043862;26.384,50;3345499320676
2012-02-13;25.114,42;3171236959322;26.080,15;3373496907734;26.355,72;3224687934359;26.084,66;18741282595;24.979,42;273658045299;26.280,63;3335116682533
2012-02-14;25.305,13;3201340272042;26.258,81;3403699642547;26.545,86;3255158251848;26.275,69;19017239642;25.148,38;275874454319;26.476,94;3365536110715
