
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-02-09;20.882,65;2384915956731;21.663,28;1864288020941;21.706,37;2405977863329;21.005,03;36085802872;20.481,93;416825667266;20.598,22;3487215504753
2012-02-10;20.873,41;2383368991553;21.654,90;1863106573536;21.696,71;2404290776327;21.005,85;36097840515;20.480,16;417041680640;20.587,19;3484470799650
2012-02-11;20.873,41;2383368991553;21.654,90;1863106573536;21.696,71;2404290776327;21.005,85;36097840515;20.480,16;417041680640;20.587,19;3484470799650
2012-02-12;20.873,41;2383368991553;21.654,90;1863106573536;21.696,71;2404290776327;21.005,85;36097840515;20.480,16;417041680640;20.587,19;3484470799650
2012-02-13;20.874,56;2376157022301;21.670,43;1859866088398;21.704,40;2397013829826;21.013,36;36122145624;20.490,43;417234642152;20.600,73;3485895447683
2012-02-14;20.912,42;2380255195562;21.703,25;1862650069959;21.734,23;2399515039930;21.036,62;36206892309;20.513,30;415644742385;20.625,79;3489296210173
2012-02-15;20.934,75;2384831156978;21.734,55;1867952532707;21.766,97;2405415344362;21.056,44;36978398479;20.537,77;415933308344;20.663,07;3494468473181
2012-02-16;20.947,45;2386716950797;21.743,61;1867675828837;21.781,21;2407659135173;21.070,20;35606724123;20.548,41;416320701340;20.669,87;3495001037499
2012-02-17;21.000,99;2393231362451;21.801,69;1872568989059;21.837,34;2413612732625;21.118,14;35689906319;20.590,41;417602304627;20.720,81;3504912993884
2012-02-18;21.000,99;2393231362451;21.801,69;1872568989059;21.837,34;2413612732625;21.118,14;35689906319;20.590,41;417602304627;20.720,81;3504912993884
2012-02-19;21.000,99;2393231362451;21.801,69;1872568989059;21.837,34;2413612732625;21.118,14;35689906319;20.590,41;417602304627;20.720,81;3504912993884
2012-02-20;21.029,12;2396176437782;21.827,02;1875288498204;21.865,97;2416561700681;21.141,93;35747264630;20.610,40;418071296594;20.742,57;3509401992585
2012-02-21;21.034,56;2396182449764;21.826,94;1874355281520;21.869,90;2416060468205;21.144,57;35758224927;20.614,39;418189511669;20.747,44;3510165693851
2012-02-22;21.006,79;2393132063179;21.788,02;1870761618849;21.835,86;2412618738127;21.127,65;35738574593;20.585,43;417744780649;20.707,50;3504379742737
2012-02-23;20.996,01;2392310779611;21.770,48;1867981542300;21.823,28;2409870140498;21.124,08;35721562310;20.578,88;417524190771;20.697,71;3502482480833
